track_name,track_artist,decade,track_id,year,track_album_release_date,playlist_genre,Energy,Danceability,Valence,Acousticness,Instrumentalness
Bobba,Platinum Dust,20s,6IWajUqxetsaZo5kqqDPrJ,2024,2024-02-15,jazz,0.5059120182642178,0.6880773828931638,0.405682055567161,0.34035906816170153,0.6700302724520687
Felices Siestas,Señor Siesta,20s,37P1VYFyxYXH3jFsnuONhs,2022,2022-12-16,jazz,0.46381933016502347,0.8011085751548745,0.575934823480259,0.5853398708535505,0.8435923309788093
The Last Day,"Guidolain beats, brass.beats",20s,4FLBF643woNKmrIoFbo7g9,2023,2023-08-22,jazz,0.3615942304955512,0.8054559287034019,0.305410486734907,0.61546046134845,0.9354187689202826
Kamada,Butterscotch,20s,1XktyM1GKgmZ7gNKDMBSyC,2023,2023-11-30,jazz,0.19923671925580128,0.5924356048255625,0.626070607896386,0.5451790835270179,0.9465186680121089
cinnamon,"Mozzie, flut",20s,6o1kfCPUpCCcpwAlDSkqzr,2023,2023-12-14,jazz,0.2613735445450883,0.7348114335398327,0.5257990390641321,0.8584332246739724,0.9152371342078709
A Million Times,KaspaHauser,20s,7j9aWWzY5lb1ngR5QDjF5B,2023,2023-10-25,jazz,0.3545787824790188,0.44897293772416036,0.4203049926885314,0.9186744056637715,0.893037336024218
Life Form,"xander., Rikard From",20s,3YLFWYh5nsCBxIFUBPiEDa,2024,2024-08-16,jazz,0.5610333955369724,0.5424410390174982,0.32525590139962396,0.7781116500209072,0.8456104944500504
biking,Loop Schrauber,20s,7dU3XypaQO3xh4Wx3Rh17N,2023,2023-10-20,jazz,0.367607471652579,0.7228562112813824,0.6438270315437644,0.6666654651897792,0.8072653884964682
Yard,paris91,20s,7uI9pFWk4XEOzd11mU8iF5,2024,2024-03-08,jazz,0.46983257132205114,0.67394848386045,0.6741174012951745,0.6696775242392691,0.8990918264379415
Urban Oasis,"Mindeliq, Billa Qause",20s,68q3yCwDpiaoSQzp2ZWeG2,2023,2023-12-05,jazz,0.32451257669387995,0.732637756765569,0.6135366617923543,0.5833318314872239,0.7850655903128154
Respiro,"flâneur, marsquake",20s,1jPThz0AXLhXUWyRorLlHq,2024,2024-06-11,jazz,0.38965602256168086,0.7424193022497555,0.4620848130353039,0.11144258040046551,0.8708375378405651
Aquarius,"Sátyr, Mosalla, Louk",20s,5oumPtBURtSbi4njivMUUJ,2024,2024-05-06,jazz,0.37261850595010215,0.5554830996630801,0.1445581783998329,0.6224885991305932,0.9192734611503532
